Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,12.7,22.5,-0.1,-1.2,SG,0.4,0.435,0.756,4.8,1.6,1.0,0.5,1.7,2.4,11.4
Shareef Abdur-Rahim,14.1,25.0,-0.4,2.2,SF,1.2,0.478,0.809,10.1,3.3,1.1,1.1,3.0,3.0,20.3
Ray Allen*,10.3,25.6,-1.1,3.6,SG,5.0,0.468,0.887,4.4,3.8,1.3,0.2,2.2,2.3,22.1
John Amaechi,14.4,24.1,-0.8,-2.5,C,0.1,0.439,0.766,3.3,1.2,0.4,0.5,1.7,2.0,10.5
Derek Anderson,14.4,23.4,-1.2,-0.1,SG,2.8,0.472,0.877,4.0,3.4,1.4,0.2,2.6,2.3,16.9
Kenny Anderson,10.6,20.5,0.1,1.8,PG,2.7,0.456,0.775,2.7,5.1,1.7,0.1,1.6,2.8,14.0
Nick Anderson,10.4,18.1,0.3,-0.3,SG,5.5,0.452,0.487,4.7,1.7,1.3,0.2,1.3,1.6,10.8
Shandon Anderson,17.9,17.6,-0.2,-0.5,SF,2.7,0.523,0.767,4.7,2.9,1.2,0.4,2.4,2.2,12.3
Chris Anstey,15.7,23.1,-0.1,-2.3,C,0.1,0.447,0.789,3.8,0.9,0.4,0.3,1.1,2.5,6.0
Greg Anthony,15.4,16.4,0.8,1.2,PG,2.8,0.443,0.772,1.6,2.5,0.7,0.1,1.0,1.7,6.3
Darrell Armstrong,16.8,23.9,0.9,4.5,PG,4.9,0.485,0.911,3.3,6.1,2.1,0.1,3.0,1.7,16.2
Chucky Atkins,15.1,24.3,-1.4,-0.8,PG,2.0,0.445,0.729,1.5,3.7,0.6,0.0,1.7,1.7,9.5
Isaac Austin,20.6,19.6,-0.1,-3.2,C,0.1,0.431,0.686,4.8,1.3,0.3,0.6,1.8,2.2,6.7
Vin Baker,14.0,23.6,-1.5,-3.0,C,0.1,0.457,0.682,7.7,1.9,0.6,0.8,2.7,3.6,16.6
Dana Barros,12.3,20.4,-1.4,0.3,PG,2.0,0.471,0.868,1.4,1.8,0.4,0.1,0.9,1.1,7.2
Brent Barry,15.5,14.9,0.9,1.8,SG,5.0,0.529,0.809,4.7,3.6,1.3,0.4,1.8,2.9,11.8
Jon Barry,17.6,15.7,2.0,2.8,SG,2.5,0.495,0.922,2.6,2.4,1.2,0.1,1.4,1.7,8.0
Tony Battie,11.3,17.1,-0.1,-1.4,C,0.1,0.483,0.675,5.0,0.8,0.6,0.9,0.8,3.0,6.6
Travis Best,14.2,20.2,0.7,0.7,PG,1.1,0.504,0.821,1.7,3.3,0.9,0.1,1.3,2.5,8.9
Mike Bibby,17.8,20.0,-1.3,0.6,PG,2.6,0.466,0.78,3.7,8.1,1.6,0.2,3.0,2.1,14.5
Mookie Blaylock,14.0,17.5,0.2,0.9,PG,4.1,0.422,0.705,3.7,6.7,2.0,0.3,2.0,1.7,11.3
Muggsy Bogues,13.0,11.6,-0.1,-1.6,PG,0.6,0.456,0.908,1.7,3.7,0.8,0.1,0.7,1.5,5.1
Shawn Bradley,10.7,16.1,1.9,0.8,C,0.1,0.482,0.765,6.5,0.8,0.9,2.5,1.0,3.4,8.4
Elton Brand,12.9,27.0,-0.9,1.3,PF,0.0,0.483,0.685,10.0,1.9,0.8,1.6,2.8,3.2,20.1
Terrell Brandon,14.0,23.0,0.3,4.3,PG,1.9,0.476,0.899,3.4,8.9,1.9,0.4,2.6,2.2,17.1
Chucky Brown,11.4,16.5,0.1,-3.0,PF,0.2,0.459,0.692,2.7,1.0,0.3,0.3,0.7,1.8,5.3
P.J. Brown,11.9,17.1,0.6,0.3,PF,0.0,0.481,0.755,7.5,1.8,0.8,0.8,1.3,3.3,9.6
Randy Brown,18.2,16.2,-0.2,-4.8,PG,0.1,0.359,0.738,2.4,3.4,1.0,0.3,1.8,2.0,6.4
Kobe Bryant*,11.8,26.8,1.6,5.1,SG,2.2,0.489,0.821,6.3,4.9,1.6,0.9,2.8,3.3,22.5
Mark Bryant,18.3,12.0,-0.2,-3.5,PF,0.0,0.503,0.809,4.7,0.8,0.4,0.4,1.2,3.3,5.7
Matt Bullard,9.2,16.7,-0.6,-0.3,PF,3.2,0.368,0.833,2.5,1.1,0.3,0.2,0.6,1.5,6.8
Scott Burrell,7.9,16.0,0.9,1.1,SF,3.1,0.444,0.78,3.5,1.0,0.9,0.6,0.5,2.3,6.1
Jason Caffey,17.1,19.4,-1.7,-4.0,PF,0.0,0.48,0.597,6.8,1.7,0.9,0.3,2.4,3.8,12.0
Marcus Camby,11.2,19.6,1.9,2.3,C,0.0,0.48,0.67,7.8,0.8,0.7,2.0,1.2,3.5,10.2
Elden Campbell,11.4,19.7,0.6,-0.9,C,0.1,0.45,0.69,7.6,1.7,0.7,1.9,1.6,3.4,12.7
Chris Carr,17.5,26.1,-1.5,-3.8,SF,1.8,0.415,0.856,3.0,1.5,0.5,0.3,2.1,2.0,9.3
Anthony Carter,23.5,18.5,0.2,-2.7,PG,0.3,0.407,0.75,2.5,4.8,1.2,0.1,2.2,2.1,6.3
Vince Carter,8.4,30.0,-0.1,5.5,SF,2.9,0.475,0.791,5.8,3.9,1.3,1.1,2.2,3.2,25.7
Sam Cassell,16.4,25.0,-1.4,2.2,PG,1.1,0.481,0.876,3.7,9.0,1.3,0.1,3.3,3.1,18.6
Kelvin Cato,12.6,15.7,0.9,-0.2,C,0.1,0.543,0.649,6.0,0.4,0.5,1.9,1.1,2.7,8.7
Cedric Ceballos,10.1,26.4,-2.2,-1.0,SF,1.9,0.464,0.843,6.7,1.3,0.8,0.3,1.8,2.4,16.6
Calbert Cheaney,14.0,10.9,0.1,-3.7,SG,0.8,0.466,0.429,2.1,1.2,0.7,0.2,0.7,2.4,4.0
